"イベント名","開始日時","終了日時","開催会場","開催場所","緯度","経度","サイトURL"
"第四回セミナー　匠Methodで「価値」をデザインし見える化する③　モデルをつなげてみよう","2017/06/21 19:00","2017/06/21 21:00","ロックオン","大阪府大阪市北区梅田2-4-9 ブリーゼタワー13F","34.6987","135.4939","https://naniwa-takumi.connpass.com/event/58147/"
"Cybozu Meetup #6 大規模サービスを支える名脇役たち","2017/07/25 18:30","2017/07/25 21:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/61329/"
"【無料】Hello, JavaScript 第1回 (ド! 初心者向け)","2017/07/28 19:00","2017/07/28 22:00","サイボウズ株式会社","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://hellojavascript.connpass.com/event/59051/"
"【大阪】Bluemix勉強会 - Watson ハンズオン - (7月開催分)","2017/07/20 19:00","2017/07/20 21:00","さくらインターネット株式会社 本社","大阪市北区大深町4番20号 グランフロント大阪タワーA 35階","34.7054","135.4946","https://bmxug.connpass.com/event/59912/"
"kintone モクモク会 @大阪　第6回","2017/08/09 19:00","2017/08/09 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/62794/"
"kintone モクモク会 @大阪　第５回","2017/07/13 19:00","2017/07/13 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/60773/"
"kintone　モクモク会　@大阪　第４回","2017/06/08 19:00","2017/06/08 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/58212/"
"kintone モクモク会　@大阪　第3回","2017/05/11 19:00","2017/05/11 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/55489/"
"kintone モクモク会　@大阪　第２回","2017/04/13 19:00","2017/04/13 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/53029/"
"kintone モクモク会　@大阪　第１回","2017/03/09 19:00","2017/03/09 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/50899/"
"kintone Caf? 岡山 Vol.2","2017/07/27 18:30","2017/07/27 20:30","ネットリンクス株式会社3F会議室","岡山県岡山市北区表町1-7-15","34.6633","133.9301","https://connpass.com/event/57582/"
"匠の夏まつり2017　ビジネスをデザインする匠Method","2017/07/05 17:00","2017/07/05 21:00","秋葉原UDX Gallery Next-3（4F）","東京都千代田区外神田4-14-1","35.7005","139.7725","https://it-takumi.connpass.com/event/57379/"
"はじめてのkintone勉強会（ハンズオン）","2017/08/22 19:00","2017/08/22 21:00","コワークングスペースOffice7F","埼玉県さいたま市大宮区宮町1-5 （銀座ビル7階）","35.9078","139.6248","https://connpass.com/event/63229/"
"第六回セミナー　匠Methodで「要求を見える化」しよう②　実践編","2017/08/04 19:10","2017/08/04 21:00"," 大阪市立青少年センター（KOKO PLAZA","大阪市東淀川区東中島1-13-13 大阪市立青少年センター（KOKO PLAZA）講義室405 406","34.7321","135.5037","https://naniwa-takumi.connpass.com/event/62184/"
"MA2017南九州の公式ハッカソンイベント連動企画、kintoneハンズオン！！","2017/09/01 18:30","2017/09/01 21:00","TUKUDDO","鹿児島県鹿児島市泉町１４?１２","31.5934","130.5606","https://mashupawards.connpass.com/event/64417/"
"kintone Caf? 仙台 Vol.7","2017/05/25 18:00","2017/05/25 20:00","TKPガーデンシティ仙台（アエル21F）","宮城県仙台市青葉区中央1-3-1","38.2627","140.8813","https://kintonecafe-sendai.connpass.com/event/56981/"
"kintone Caf? 仙台 Vol.7 【懇親会】","2017/05/25 20:30","2017/05/25 22:30","塚田農場　仙台名掛丁店","宮城県仙台市青葉区中央1-7-18　日吉第一ビル2階","38.262","140.8789","https://kintonecafe-sendai.connpass.com/event/57710/"
"kintone Caf? 仙台 Vol.6 【懇親会】","2016/12/08 20:30","2016/12/08 22:30","ぼんてん漁港東口店","宮城県仙台市宮城野区榴岡一丁目6－10","38.2582","140.8849","https://kintonecafe-sendai.connpass.com/event/46318/"
"kintone Caf? 仙台 Vol.6","2016/12/08 18:00","2016/12/08 20:00","TKPガーデンシティPREMIUM仙台東口","宮城県仙台市宮城野区榴岡3-4-1(アゼリアヒルズ 2F)","38.2614","140.8868","https://kintonecafe-sendai.connpass.com/event/45287/"
"kintone x DataSpider ハンズオン バトル","2017/09/07 19:00","2017/09/07 21:30"," デジタルものづくりスペース デジハコ","広島市中区大手町2丁目2-13 (ザ・ガーデンプレイス紙屋町 5F)","34.393","132.4557","https://hmcn.connpass.com/event/64572/"
"【大阪】Bluemix勉強会 - Watson ハンズオン - (8月開催分)","2017/08/24 18:30","2017/08/24 20:30","さくらインターネット株式会社 本社","大阪市北区大深町4番20号 グランフロント大阪タワーA 35階","34.7054","135.4946","https://bmxug.connpass.com/event/59990/"
"kintone Caf? 信州 Vol.1（満員御礼）閉め切りました！","2017/08/30 13:30","2017/08/30 15:30","コワーキングスペースColabo","長野県塩尻市大門八番町1-12","36.111","137.9502","https://kintone-cafe-shinshu.connpass.com/event/62124/"
"Cybozu Meetup #7 セキュリティ","2017/08/22 18:30","2017/08/22 21:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/63652/"
"kintone モクモク会 @大阪　第7回","2017/09/14 19:00","2017/09/14 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/65263/"
"【無料】Hello, JavaScript 第2回 (ド! 初心者向け)","2017/08/24 19:00","2017/08/24 21:30","サイボウズ株式会社","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://hellojavascript.connpass.com/event/64355/"
"【大阪・本町】コミュニティピッチ×ビアバッシュ#0","2017/08/25 19:00","2017/08/25 21:00","TheDECK","大阪府大阪市中央区南本町2-1-1","34.683","135.5062","https://osaka-hommachi.connpass.com/event/62855/"
"第七回セミナー　価値分析モデルを使ってみんなで価値を描こう","2017/09/06 19:10","2017/09/06 21:00","大阪市立青少年センター（KOKO PLAZA） 講義室505","大阪市東淀川区東中島1-13-13","34.7321","135.5037","https://naniwa-takumi.connpass.com/event/64340/"
"【開催確定】南九州ハッカソン！Pepper、kintone、mbedを使い倒せ","2017/09/02 10:00","2017/09/03 20:00","TUKUDDO","鹿児島県鹿児島市泉町１４?１２","31.5934","130.5606","https://mashupawards.connpass.com/event/63855/"
"総務で見える化カイゼンMeetup!","2017/09/15 15:00","2017/09/15 17:30","サイボウズ株式会社 東京オフィス","東京都中央区日本橋2-7-1 (東京日本橋タワー 27階)","35.682","139.7743","https://connpass.com/event/63738/"
"Cybozu Meetup #8 SRE","2017/09/25 18:30","2017/09/25 21:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://cybozu.connpass.com/event/65727/"
"第八回セミナー　価値デザインモデルを使ってみんなで価値からビジネスを描こう","2017/10/13 19:10","2017/10/13 21:00","大阪市立青少年センター（KOKO PLAZA） 多目的室","大阪市東淀川区東中島1-13-13","34.7321","135.5037","https://naniwa-takumi.connpass.com/event/66767/"
"【無料】Hello, JavaScript 第3回 (ド! 初心者向け)","2017/10/02 19:00","2017/10/02 21:30","サイボウズ株式会社","東京都中央区日本橋2-7-1 東京日本橋タワー 27階","35.6819","139.7742","https://hellojavascript.connpass.com/event/67721/"
"レッドハッカソンひろしま 2017","2017/09/23 10:00","2017/09/24 17:00","イノベーション・ハブ・ひろしまCamps","広島市中区紙屋町1-4-3 (エフケイビル1F)","34.3941","132.4587","https://hmcn.connpass.com/event/60681/"
"kintone Caf? 浜松 Vol.2","2017/09/25 18:30","2017/09/25 20:00","遠鉄システムサービス株式会社","静岡県浜松市中区千歳町91番地の1 （遠鉄モール街ビル2階）","34.7036","137.731","https://kintonecafe-hamamatsu.connpass.com/event/64693/"
"大人のプログラミングカフェDojo浜松 4杯目","2017/09/23 16:00","2017/09/23 18:00","南部協働センター","浜松市中区海老塚二丁目25-17","34.697","137.7332","https://progdojo-hmmt.connpass.com/event/64377/"
"kintone モクモク会 @大阪　第8回","2017/10/11 19:00","2017/10/11 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/67950/"
"UX Cafe: B2BサービスのUXデザインを語ろう","2017/09/27 18:30","2017/09/27 22:00","サイボウズ株式会社（東京オフィス）","東京都中央区日本橋2-7-1  東京日本橋タワー27階","35.6819","139.7742","https://cybozu.connpass.com/event/65662/"
"kintone Caf? 仙台 Vol.8 【懇親会】","2017/10/04 20:30","2017/10/04 22:30","塚田農場　仙台名掛丁店","宮城県仙台市青葉区中央1-7-18　日吉第一ビル2階","38.262","140.8789","https://kintonecafe-sendai.connpass.com/event/68519/"
"kintone Caf? 仙台 Vol.8","2017/10/04 18:00","2017/10/04 20:00","中小企業活性化センター セミナールーム（１）B（AER 6F）※変更の可能性あり","宮城県仙台市青葉区中央1-3-1 (AER 6F)","38.2627","140.8813","https://kintonecafe-sendai.connpass.com/event/64658/"
"はじめてのkintone勉強会 2（ハンズオン）","2017/10/11 19:00","2017/10/11 21:00","コワークングスペースOffice7F","埼玉県さいたま市大宮区宮町1-5 （銀座ビル7階）","35.9078","139.6248","https://connpass.com/event/68103/"
"ITもの作りワークショップ（ハッカソン）@高知 #MA_2017","2017/10/28 10:00","2017/10/29 20:00","高知県立大学・高知工科大学 永国寺キャンパス地域連携棟４階「多目的ホール」","高知市永国寺町6-28","33.5632","133.5345","https://mashupawards.connpass.com/event/68722/"
"【中止】会津ハッカソン連動ハンズオン！ #ma_2017","2017/10/27 19:00","2017/10/27 21:30","会津大学 講義等 M9教室","会津若松市一箕町鶴賀上居合90","37.5238","139.9387","https://mashupawards.connpass.com/event/69148/"
"Ebisu.rb #14","2017/10/18 19:00","2017/10/18 21:00","Fablic, inc","東京都渋谷区広尾1-13-1 フジキカイ広尾ビル3F","35.6483","139.7127","https://ebisurb.connpass.com/event/68208/"
"【いよいよ明日開催！！】【ヒカ☆ラボ関西】イケてるweb系3企業が登壇！！IT技術トーーク！","2017/10/28 14:00","2017/10/28 17:00","サイボウズ　大阪オフィス","大阪府大阪市北区角田町8番1号 梅田阪急ビルオフィスタワー 35階","34.7027","135.4988","https://hikalab-kansai.connpass.com/event/68287/"
"プロジェクトを価値からデザインすることを学ぼう ","2017/11/17 19:10","2017/11/17 21:00","大阪市立青少年センター（KOKO PLAZA）講義室504","大阪市東淀川区東中島1-13-13","34.7321","135.5037","https://naniwa-takumi.connpass.com/event/68778/"
"ゆるふわIT浜松 CodingDojoカフェ 5杯目","2017/10/29 16:00","2017/10/29 18:00","南部協働センター","浜松市中区海老塚二丁目25-17","34.697","137.7332","https://progdojo-hmmt.connpass.com/event/67835/"
"kintone モクモク会 @大阪　第9回","2017/11/15 19:00","2017/11/15 21:00","サイボウズ大阪オフィス","大阪府大阪市北区角田町8番1号梅田阪急ビルオフィスタワー35階","34.7027","135.4988","https://kintonemokumoku.connpass.com/event/70896/"
